ticker_symbol,security_name,gics_sector,gics_sub_industry,headquarters
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee"
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York"
INTU,Intuit,Information Technology,Application Software,"Mountain View, California"
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California"
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia"
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas"
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina"
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts"
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas"
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida"
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri"
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas"
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey"
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland"
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York"
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois"
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey"
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts"
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio"
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California"
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas"
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York"
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas"
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,"New York City, New York"
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California"
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania"
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio"
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida"
LH,Labcorp,Health Care,Health Care Services,"Burlington, North Carolina"
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho"
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada"
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia"
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida"
LII,Lennox International,Industrials,Building Products,"Richardson, Texas"
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana"
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California"
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois"
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland"
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York"
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina"
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada"
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands"
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York"
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio"
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York"
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland"
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York"
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina"
MAS,Masco,Industrials,Building Products,"Livonia, Michigan"
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York"
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas"
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland"
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois"
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas"
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland"
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey"
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California"
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York"
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio"
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada"
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona"
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho"
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington"
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee"
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts"
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia"
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California"
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois"
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois"
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington"
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California"
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York"
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York"
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida"
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois"
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,"New York City, New York"
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York"
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California"
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California"
NEM,Newmont,Materials,Gold,"Denver, Colorado"
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York"
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York"
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida"
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon"
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana"
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio"
NSC,Norfolk Southern,Industrials,Rail Transportation,"Atlanta, Georgia"
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois"
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia"
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas"
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina"
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California"
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia"
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands"
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,"Springfield, Missouri"
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina"
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York"
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona"
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas"
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut"
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington"
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois"
PLTR,Palantir Technologies,Information Technology,Application Software,"Denver, Colorado"
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California"
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,"Los Angeles, California"
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio"
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York"
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma"
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California"
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom"
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York"
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York"
PCG,PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California"
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York"
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas"
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona"
PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania"
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana"
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania"
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania"
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa"
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio"
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio"
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California"
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey"
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey"
PTC,PTC Inc.,Information Technology,Application Software,"Boston, Massachusetts"
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California"
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia"
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas"
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California"
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey"
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York"
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida"
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts"
O,Realty Income,Real Estate,Retail REITs,"San Diego, California"
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida"
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York"
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama"
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona"
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California"
RVTY,Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts"
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin"
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia"
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida"
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California"
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York"
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California"
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida"
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland"
SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California"
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California"
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio"
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana"
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California"
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio"
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland"
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin"
SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota"
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia"
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas"
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut"
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington"
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts"
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana"
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland"
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan"
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California"
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut"
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California"
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas"
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington"
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland"
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York"
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York"
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas"
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota"
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland"
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California"
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts"
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas"
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas"
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas"
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island"
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts"
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts"
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,"New York City, New York"
TTD,Trade Desk (The),Communication Services,Advertising,"Ventura, California"
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee"
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland"
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio"
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York"
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado"
TFC,Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina"
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas"
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas"
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota"
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California"
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado"
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois"
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska"
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois"
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia"
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota"
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania"
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas"
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois"
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts"
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia"
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey"
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York"
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts"
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania"
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York"
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California"
VST,Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas"
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama"
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut"
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois"
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania"
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois"
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas"
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California"
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas"
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts"
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin"
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California"
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio"
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania"
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California"
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington"
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,"San Francisco, California"
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom"
WDAY,"Workday, Inc.",Information Technology,Application Software,"Pleasanton, California"
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada"
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota"
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York"
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky"
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois"
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana"
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey"
